iter	Passed	Remaining
239	780	2472
240	782	2464
241	784	2456
242	785	2447
243	787	2439
244	789	2431
245	790	2423
246	792	2415
247	793	2406
248	795	2398
249	796	2390
250	798	2382
251	799	2374
252	801	2366
253	803	2359
254	804	2351
255	806	2343
256	808	2336
257	809	2328
258	811	2321
259	812	2313
260	814	2306
261	816	2298
262	818	2293
263	820	2286
264	821	2278
265	823	2271
266	825	2265
267	827	2259
268	829	2253
269	831	2247
270	834	2243
271	836	2237
272	838	2231
273	840	2226
274	842	2220
275	844	2214
276	846	2208
277	848	2204
278	851	2199
279	853	2193
280	855	2189
281	857	2184
282	859	2178
283	861	2173
284	865	2170
285	867	2164
286	869	2160
287	1033	2554
288	1035	2548
289	1037	2541
290	1040	2534
291	1042	2527
292	1044	2520
293	1046	2513
294	1049	2507
295	1051	2500
296	1054	2495
297	1056	2489
298	1058	2482
299	1061	2475
300	1086	2523
301	1089	2517
302	1091	2510
303	1093	2503
304	1095	2496
305	1097	2489
306	1099	2482
307	1102	2477
308	1104	2470
309	1106	2463
310	1109	2457
311	1111	2452
312	1115	2447
313	1118	2442
314	1120	2436
315	1122	2430
316	1125	2425
317	1127	2418
318	1129	2412
319	1132	2405
320	1134	2399
321	1136	2392
322	1138	2386
323	1141	2381
324	1143	2375
325	1147	2372
326	1159	2387
327	1162	2381
328	1164	2375
329	1166	2368
330	1168	2362
331	1170	2355
332	1173	2351
333	1177	2347
334	1179	2341
335	1182	2336
336	1185	2331
337	1187	2325
338	1190	2322
339	1193	2316
340	1195	2309
341	1199	2306
342	1205	2308
343	1207	2302
344	1209	2297
345	1212	2291
346	1214	2285
347	1217	2280
348	1219	2275
349	1222	2269
350	1224	2263
351	1229	2263
352	1236	2266
353	1245	2272
354	1248	2267
355	1252	2266
356	1254	2260
357	1257	2254
358	1265	2259
359	1267	2254
360	1270	2248
361	1275	2247
362	1278	2242
363	1280	2237
364	1283	2232
365	1286	2228
366	1294	2232
367	1296	2226
368	1300	2223
369	1302	2218
370	1307	2216
371	1310	2211
372	1313	2208
373	1316	2203
374	1329	2216
375	1332	2211
376	1357	2242
377	1373	2259
378	1375	2253
379	1380	2251
380	1383	2248
381	1388	2246
382	1390	2240
383	1393	2236
384	1400	2237
385	1403	2232
386	1406	2228
387	1409	2223
388	1414	2221
389	1416	2216
390	1419	2211
391	1422	2205
392	1425	2201
393	1429	2199
394	1432	2194
395	1435	2188
396	1437	2183
397	1440	2178
398	1443	2174
399	1447	2171
400	1450	2166
401	1453	2162
402	1456	2157
403	1460	2154
404	1463	2150
405	1466	2145
406	1485	2164
407	1488	2159
408	1491	2155
409	1493	2149
410	1495	2143
411	1498	2138
412	1500	2133
413	1503	2128
414	1507	2125
415	1512	2123
416	1514	2117
417	1517	2112
418	1520	2107
419	1527	2109
420	1530	2104
421	1533	2099
422	1535	2094
423	1538	2089
424	1540	2084
425	1543	2079
426	1545	2073
427	1547	2067
428	1549	2062
429	1551	2056
430	1553	2050
431	1555	2044
432	1557	2038
433	1558	2032
