iter	Passed	Remaining
614	2176	1362
615	2181	1360
616	2184	1356
617	2187	1352
618	2189	1347
619	2198	1347
620	2201	1343
621	2204	1339
622	2206	1335
623	2212	1333
624	2214	1328
625	2220	1326
626	2226	1324
627	2229	1320
628	2234	1318
629	2239	1315
630	2244	1312
631	2246	1307
632	2249	1304
633	2257	1303
634	2260	1299
635	2261	1294
636	2267	1292
637	2269	1287
638	2273	1284
639	2276	1280
640	2280	1277
641	2282	1272
642	2284	1268
643	2286	1263
644	2287	1259
645	2299	1260
646	2301	1255
647	2304	1251
648	2307	1247
649	2317	1247
650	2321	1244
651	2322	1239
652	2334	1240
653	2337	1236
654	2338	1231
655	2342	1228
656	2350	1226
657	2352	1222
658	2354	1218
659	2358	1214
660	2361	1211
661	2363	1206
662	2365	1202
663	2366	1197
664	2368	1193
665	2370	1188
666	2376	1186
667	2378	1182
668	2382	1178
669	2384	1174
670	2385	1169
671	2386	1164
672	2389	1161
673	2391	1156
674	2392	1151
675	2395	1148
676	2397	1143
677	2398	1139
678	2400	1134
679	2404	1131
680	2406	1127
681	2408	1122
682	2409	1118
683	2411	1114
684	2413	1109
685	2421	1108
686	2425	1104
687	2426	1100
688	2428	1096
689	2430	1091
690	2431	1087
691	2435	1084
692	2438	1080
693	2439	1075
694	2441	1071
695	2442	1066
696	2444	1062
697	2446	1058
698	2452	1056
699	2454	1052
700	2456	1047
701	2459	1044
702	2461	1039
703	2462	1035
704	2467	1032
705	2469	1028
706	2470	1023
707	2472	1019
708	2474	1015
709	2475	1011
710	2477	1007
711	2481	1003
712	2483	999
713	2485	995
714	2487	991
715	2488	987
716	2490	982
717	2491	978
718	2493	974
719	2497	971
720	2499	967
721	2500	962
722	2502	958
723	2503	954
724	2505	950
725	2507	946
726	2512	943
727	2514	939
728	2516	935
729	2517	931
730	2519	927
731	2520	922
732	2522	918
733	2523	914
734	2529	912
735	2531	908
736	2533	903
737	2534	899
738	2536	895
739	2538	891
740	2542	888
741	2545	885
742	2548	881
743	2550	877
744	2552	873
745	2560	871
746	2562	867
747	2563	863
748	2565	859
749	2566	855
